id,name,team,height,weight,year,position,hometown,state,country,latitude,longitude,formatted_height
5156344,Micah Davis,Michigan,73.0,203.0,2.0,DB,Dexter,MI,USA,42.3372998,-83.8842,"6'1"""
5156345,Grayson Dee,Michigan,73.0,235.0,2.0,LB,Pittsburgh,PA,USA,40.4416941,-79.9900861,"6'1"""
5156346,Jack MacKinnon,Michigan,76.0,250.0,2.0,LB,Sarasota,FL,USA,27.3365805,-82.5308545,"6'4"""
5156347,Liam Groulx,Michigan,72.0,225.0,2.0,LB,Charlotte,NC,USA,35.2272086,-80.8430827,"6'0"""
5156348,Bryson Kuzdzal,Michigan,71.0,198.0,2.0,RB,Ada,MI,USA,42.9547136,-85.4879523,"5'11"""
5156349,Jalen Hoffman,Michigan,75.0,235.0,2.0,TE,Burke,VA,USA,38.778416,-77.27496377315485,"6'3"""
5156350,Cole Morgan,Michigan,76.0,275.0,2.0,OL,Princeton,NJ,USA,40.3496953,-74.6597376,"6'4"""
5156351,John Weidenbach,Michigan,72.0,215.0,2.0,LB,Naperville,IL,USA,41.7728699,-88.1479278,"6'0"""
5156352,Stone Anderson,Michigan,74.0,190.0,2.0,PK,Deerfield,MA,USA,42.5442595,-72.6044771,"6'2"""
5156353,Trey Pierce,Michigan,74.0,315.0,2.0,DL,Evergreen Park,IL,USA,41.720136,-87.7013258,"6'2"""
4360423,Michael Penix Jr.,Washington,75.0,213.0,4.0,QB,Tampa,FL,USA,27.9477595,-82.458444,"6'3"""
4361094,Dominique Hampton,Washington,75.0,220.0,4.0,CB,Glendale,AZ,USA,33.5386858,-112.185994,"6'3"""
4361095,Richard Newton,Washington,72.0,223.0,4.0,RB,Lancaster,CA,USA,34.6981064,-118.1366153,"6'0"""
4361100,Jack Westover,Washington,75.0,248.0,4.0,TE,Bellevue,WA,USA,47.6144219,-122.192337,"6'3"""
4361105,Zion Tupuola-Fetui,Washington,76.0,254.0,4.0,DE,Pearl City,HI,USA,21.4001231,-157.969428,"6'4"""
4361107,Ulumoo Ale,Washington,78.0,327.0,4.0,DL,Tacoma,WA,USA,47.2455013,-122.438329,"6'6"""
4361109,Matteo Mele,Washington,78.0,298.0,4.0,OL,Tucson,AZ,USA,32.2228765,-110.974847,"6'6"""
4361112,Devin Culp,Washington,76.0,237.0,4.0,TE,Spokane,WA,USA,47.6571934,-117.42351,"6'4"""
4361113,Tuli Letuligasenoa,Washington,73.0,292.0,4.0,DL,Concord,CA,USA,37.9768525,-122.0335624,"6'1"""
4374280,Edefuan Ulofoshio,Washington,73.0,236.0,4.0,LB,Anchorage,AK,USA,61.2163129,-149.894852,"6'1"""
4426352,Jacob Bandes,Washington,75.0,307.0,4.0,DL,Pittsburg,CA,USA,38.0181745,-121.8901232,"6'3"""
4426380,Faatui Tuitele,Washington,75.0,317.0,3.0,DL,Honolulu,HI,USA,21.304547,-157.855676,"6'3"""
4426821,Julius Buelow,Washington,80.0,315.0,4.0,OL,Kapolei,HI,USA,21.3340079,-158.077849,"6'8"""
4427160,Kamren Fabiculanan,Washington,73.0,200.0,4.0,S,Camarillo,CA,USA,34.2176371,-119.0383541,"6'1"""
4427170,Troy Fautanu,Washington,76.0,317.0,3.0,OL,Henderson,NV,USA,36.0319843,-114.9822486,"6'4"""
4427219,Drew Fowler,Washington,73.0,222.0,4.0,LB,Bellevue,WA,USA,47.6144219,-122.192337,"6'1"""
4427294,Ralen Goforth,Washington,74.0,237.0,4.0,LB,Long Beach,CA,USA,33.7690164,-118.191604,"6'2"""
4427569,Giles Jackson,Washington,69.0,187.0,4.0,WR,Antioch,CA,USA,38.0049214,-121.805789,"5'9"""
4427676,Nate Kalepo,Washington,78.0,325.0,4.0,OL,Renton,WA,USA,47.4799078,-122.2034496,"6'6"""
4428713,Bralen Trice,Washington,76.0,274.0,3.0,DE,Phoenix,AZ,USA,33.4484367,-112.074141,"6'4"""
4428726,Alphonzo Tuputala,Washington,74.0,230.0,4.0,LB,Federal Way,WA,USA,47.313494,-122.33931,"6'2"""
4429089,Geirean Hatchett,Washington,77.0,312.0,4.0,OL,Ferndale,WA,USA,48.8466698,-122.589723,"6'5"""
4429186,Sam Adams II,Washington,74.0,212.0,3.0,RB,Kirkland,WA,USA,47.6765382,-122.2070775,"6'2"""
4429490,Carson Bruener,Washington,74.0,226.0,4.0,LB,Woodinville,WA,USA,47.7545827,-122.1588902,"6'2"""
4429694,Makell Esteen,Washington,73.0,202.0,3.0,S,Hawthorne,CA,USA,33.9128272,-118.3426122,"6'1"""
4430565,Will Nixon,Washington,71.0,202.0,3.0,RB,Waco,TX,USA,31.5491899,-97.1474628,"5'11"""
4430616,Asa Turner,Washington,75.0,210.0,4.0,DB,Carlsbad,CA,USA,33.1580933,-117.3505966,"6'3"""
4430637,Ja'Lynn Polk,Washington,74.0,204.0,2.0,WR,Lufkin,TX,USA,31.3386242,-94.7288558,"6'2"""
4430810,Daniyel Ngata,Washington,69.0,191.0,4.0,RB,Folsom,CA,USA,38.6779591,-121.176058,"5'9"""
4430834,Jalen McMillan,Washington,73.0,192.0,3.0,WR,Fresno,CA,USA,36.7394421,-119.78483,"6'1"""
4430876,Roger Rosengarten,Washington,78.0,300.0,2.0,OL,Highlands Ranch,CO,USA,39.5497243,-104.969565,"6'6"""
4431264,Gaard Memmelaar,Washington,76.0,299.0,3.0,OL,Caldwell,ID,USA,43.6678736,-116.689415,"6'4"""
4431299,Rome Odunze,Washington,75.0,215.0,3.0,WR,Las Vegas,NV,USA,36.1672559,-115.148516,"6'3"""
4432440,Jabbar Muhammad,Washington,70.0,183.0,4.0,DB,Desoto,TX,USA,32.5897831,-96.8570183,"5'10"""
4432466,Samuel Peacock,Washington,78.0,296.0,2.0,OL,Gig Harbor,WA,USA,47.3259697,-122.5878659,"6'6"""
4569594,Cameron Davis,Washington,72.0,214.0,4.0,RB,Bryant,AR,USA,34.5959045,-92.488348,"6'0"""
4569598,Dylan Morris,Washington,73.0,202.0,4.0,QB,Puyallup,WA,USA,47.1849009,-122.29214,"6'1"""
4569600,Mishael Powell,Washington,73.0,210.0,4.0,DB,Seattle,WA,USA,47.6038321,-122.330062,"6'1"""
4574713,Jaden Green,Washington,71.0,214.0,3.0,LS,Gilbert,AZ,USA,33.3527632,-111.789037,"5'11"""
4575923,Elijah Jackson,Washington,73.0,193.0,3.0,CB,Carson,CA,USA,33.8322043,-118.2517547,"6'1"""
4581579,Sekai Asoau-Afoa,Washington,76.0,263.0,4.0,DE,Tacoma,WA,USA,47.2455013,-122.438329,"6'4"""
4588194,Dyson McCutcheon,Washington,71.0,182.0,3.0,DB,Claremont,CA,USA,34.0966764,-117.7197785,"5'11"""
4683138,Voi Tunuufi,Washington,73.0,282.0,4.0,EDGE,South Jordan,UT,USA,40.5584882,-111.9367107,"6'1"""
4683181,Robert Wyrsch,Washington,79.0,293.0,2.0,OL,Capitola,CA,USA,36.9762927,-121.954057,"6'7"""
4683386,William Haskell,Washington,76.0,200.0,2.0,QB,Glendale,AZ,USA,33.5386858,-112.185994,"6'4"""
4683554,Darren Barkins,Washington,71.0,169.0,3.0,CB,Spring Valley,CA,USA,32.7295705,-116.96688951775884,"5'11"""
4684069,Maurice Heims,Washington,77.0,263.0,3.0,EDGE,Hamburg,,Germany,53.550341,10.000654,"6'5"""
4685261,Germie Bernard,Washington,73.0,209.0,3.0,WR,Henderson,NV,USA,36.0319843,-114.9822486,"6'1"""
4685322,Tristan Dunn,Washington,76.0,191.0,2.0,S,Sumner,WA,USA,47.2061882,-122.2312383,"6'4"""
